Type,Size,Density,Iterations,Seed,STD,Time
sparse,160,0.1,100,8,1.54261e-14,1
dense,160,0.1,100,9,1.78197e-14,8
sparse,160,0.1,100,9,1.78197e-14,0
dense,320,0.1,100,0,2.19966e-14,12
sparse,320,0.1,100,0,2.19966e-14,2
dense,320,0.1,100,1,2.27399e-14,14
sparse,320,0.1,100,1,2.27399e-14,2
dense,320,0.1,100,2,2.16711e-14,12
sparse,320,0.1,100,2,2.16711e-14,2
dense,320,0.1,100,3,2.34942e-14,11
sparse,320,0.1,100,3,2.34942e-14,1
dense,320,0.1,100,4,2.39558e-14,21
sparse,320,0.1,100,4,2.39558e-14,2
dense,320,0.1,100,5,2.40381e-14,12
sparse,320,0.1,100,5,2.40381e-14,2
dense,320,0.1,100,6,2.49272e-14,12
sparse,320,0.1,100,6,2.49272e-14,2
dense,320,0.1,100,7,2.3849e-14,12
sparse,320,0.1,100,7,2.3849e-14,1
dense,320,0.1,100,8,2.43893e-14,12
sparse,320,0.1,100,8,2.43893e-14,2
dense,320,0.1,100,9,2.4225e-14,13
sparse,320,0.1,100,9,2.4225e-14,2
dense,640,0.1,100,0,3.40202e-14,51
sparse,640,0.1,100,0,3.40202e-14,4
dense,640,0.1,100,1,3.23991e-14,58
sparse,640,0.1,100,1,3.23991e-14,5
dense,640,0.1,100,2,3.17973e-14,57
sparse,640,0.1,100,2,3.17973e-14,5
dense,640,0.1,100,3,3.40945e-14,57
sparse,640,0.1,100,3,3.40945e-14,4
dense,640,0.1,100,4,3.2659e-14,54
sparse,640,0.1,100,4,3.2659e-14,4
dense,640,0.1,100,5,3.72728e-14,50
sparse,640,0.1,100,5,3.72728e-14,4
dense,640,0.1,100,6,3.29531e-14,51
sparse,640,0.1,100,6,3.29531e-14,5
dense,640,0.1,100,7,3.3866e-14,53
sparse,640,0.1,100,7,3.3866e-14,4
dense,640,0.1,100,8,3.11918e-14,52
sparse,640,0.1,100,8,3.11918e-14,4
dense,640,0.1,100,9,3.32592e-14,50
sparse,640,0.1,100,9,3.32592e-14,5
dense,1280,0.1,100,0,5.04445e-14,195
sparse,1280,0.1,100,0,5.04445e-14,19
dense,1280,0.1,100,1,4.92205e-14,208
sparse,1280,0.1,100,1,4.92205e-14,22
dense,1280,0.1,100,2,4.61277e-14,197
sparse,1280,0.1,100,2,4.61277e-14,19
dense,1280,0.1,100,3,4.59108e-14,206
sparse,1280,0.1,100,3,4.59108e-14,22
dense,1280,0.1,100,4,4.74258e-14,202
sparse,1280,0.1,100,4,4.74258e-14,22
dense,1280,0.1,100,5,4.50935e-14,266
sparse,1280,0.1,100,5,4.50935e-14,23
dense,1280,0.1,100,6,4.61506e-14,261
sparse,1280,0.1,100,6,4.61506e-14,23
dense,1280,0.1,100,7,5.45534e-14,198
sparse,1280,0.1,100,7,5.45534e-14,18
dense,1280,0.1,100,8,4.41216e-14,196
sparse,1280,0.1,100,8,4.41216e-14,19
dense,1280,0.1,100,9,4.38618e-14,213
sparse,1280,0.1,100,9,4.38618e-14,21
dense,2560,0.1,100,0,6.55568e-14,790
sparse,2560,0.1,100,0,6.55568e-14,110
dense,2560,0.1,100,1,6.78411e-14,784
sparse,2560,0.1,100,1,6.78411e-14,86
dense,2560,0.1,100,2,6.4449e-14,784
sparse,2560,0.1,100,2,6.4449e-14,86
dense,2560,0.1,100,3,5.96107e-14,787
sparse,2560,0.1,100,3,5.96107e-14,91
dense,2560,0.1,100,4,6.25602e-14,820
sparse,2560,0.1,100,4,6.25602e-14,81
dense,2560,0.1,100,5,7.02452e-14,797
sparse,2560,0.1,100,5,7.02452e-14,83
dense,2560,0.1,100,6,6.08543e-14,798
sparse,2560,0.1,100,6,6.08543e-14,84
dense,2560,0.1,100,7,6.14665e-14,802
sparse,2560,0.1,100,7,6.14665e-14,81
dense,2560,0.1,100,8,6.20792e-14,912
sparse,2560,0.1,100,8,6.20792e-14,82
dense,2560,0.1,100,9,6.89213e-14,805
sparse,2560,0.1,100,9,6.89213e-14,91
dense,5120,0.1,100,0,9.64823e-14,3244
sparse,5120,0.1,100,0,9.64823e-14,331
dense,5120,0.1,100,1,8.55406e-14,3243
sparse,5120,0.1,100,1,8.55406e-14,388
dense,5120,0.1,100,2,8.67995e-14,3224
sparse,5120,0.1,100,2,8.67995e-14,329
dense,5120,0.1,100,3,8.83402e-14,3224
sparse,5120,0.1,100,3,8.83402e-14,340
dense,5120,0.1,100,4,8.75868e-14,3378
sparse,5120,0.1,100,4,8.75868e-14,329
dense,5120,0.1,100,5,9.81165e-14,3227
sparse,5120,0.1,100,5,9.81165e-14,361
dense,5120,0.1,100,6,9.47442e-14,3318
sparse,5120,0.1,100,6,9.47442e-14,358
dense,5120,0.1,100,7,9.72124e-14,3202
sparse,5120,0.1,100,7,9.72124e-14,341
dense,5120,0.1,100,8,9.0576e-14,3212
sparse,5120,0.1,100,8,9.0576e-14,344
dense,5120,0.1,100,9,9.00747e-14,3408
sparse,5120,0.1,100,9,9.00747e-14,352
dense,10,0.2,100,0,2.91764e-16,0
sparse,10,0.2,100,0,2.91764e-16,0
dense,10,0.2,100,1,4.46132e-15,0
sparse,10,0.2,100,1,4.46132e-15,0
dense,10,0.2,100,2,4.49532e-15,0
sparse,10,0.2,100,2,4.49532e-15,0
dense,10,0.2,100,3,1.84319e-16,0
sparse,10,0.2,100,3,1.84319e-16,0
dense,10,0.2,100,4,3.06193e-16,0
sparse,10,0.2,100,4,3.06193e-16,0
dense,10,0.2,100,5,1.53133e-14,0
sparse,10,0.2,100,5,1.53133e-14,0
dense,10,0.2,100,6,2.67183e-15,0
sparse,10,0.2,100,6,2.67183e-15,0
dense,10,0.2,100,7,1.75542e-16,0
sparse,10,0.2,100,7,1.75542e-16,0
dense,10,0.2,100,8,2.73272e-15,0
sparse,10,0.2,100,8,2.73272e-15,0
dense,10,0.2,100,9,2.24755e-15,0
sparse,10,0.2,100,9,2.24755e-15,0
dense,20,0.2,100,0,4.02759e-15,0
sparse,20,0.2,100,0,4.02759e-15,0
dense,20,0.2,100,1,9.11465e-15,0
sparse,20,0.2,100,1,9.11465e-15,0
dense,20,0.2,100,2,8.40148e-15,0
sparse,20,0.2,100,2,8.40148e-15,0
dense,20,0.2,100,3,1.19328e-14,0
sparse,20,0.2,100,3,1.19328e-14,0
dense,20,0.2,100,4,6.51995e-15,0
sparse,20,0.2,100,4,6.51995e-15,0
dense,20,0.2,100,5,8.08742e-15,0
sparse,20,0.2,100,5,8.08742e-15,0
dense,20,0.2,100,6,3.7735e-15,0
sparse,20,0.2,100,6,3.7735e-15,1
dense,20,0.2,100,7,1.07176e-14,0
sparse,20,0.2,100,7,1.07176e-14,0
dense,20,0.2,100,8,4.95961e-15,0
sparse,20,0.2,100,8,4.95961e-15,0
dense,20,0.2,100,9,6.96032e-15,0
sparse,20,0.2,100,9,6.96032e-15,0
dense,40,0.2,100,0,1.34143e-14,0
sparse,40,0.2,100,0,1.34143e-14,0
dense,40,0.2,100,1,1.02547e-14,0
sparse,40,0.2,100,1,1.02547e-14,0
dense,40,0.2,100,2,1.27177e-14,0
sparse,40,0.2,100,2,1.27177e-14,0
dense,40,0.2,100,3,9.8965e-15,0
sparse,40,0.2,100,3,9.8965e-15,0
dense,40,0.2,100,4,1.14754e-14,0
sparse,40,0.2,100,4,1.14754e-14,0
dense,40,0.2,100,5,1.26287e-14,0
sparse,40,0.2,100,5,1.26287e-14,0
dense,40,0.2,100,6,9.43835e-15,0
sparse,40,0.2,100,6,9.43835e-15,0
dense,40,0.2,100,7,1.13804e-14,0
sparse,40,0.2,100,7,1.13804e-14,0
dense,40,0.2,100,8,9.52286e-15,0
sparse,40,0.2,100,8,9.52286e-15,0
dense,40,0.2,100,9,1.28013e-14,0
sparse,40,0.2,100,9,1.28013e-14,0
dense,80,0.2,100,0,1.55584e-14,1
sparse,80,0.2,100,0,1.55584e-14,0
dense,80,0.2,100,1,2.15991e-14,1
sparse,80,0.2,100,1,2.15991e-14,1
dense,80,0.2,100,2,1.5921e-14,1
sparse,80,0.2,100,2,1.5921e-14,0
dense,80,0.2,100,3,1.23534e-14,1
sparse,80,0.2,100,3,1.23534e-14,0
dense,80,0.2,100,4,1.82457e-14,1
sparse,80,0.2,100,4,1.82457e-14,1
dense,80,0.2,100,5,1.41138e-14,1
sparse,80,0.2,100,5,1.41138e-14,0
dense,80,0.2,100,6,1.99724e-14,1
sparse,80,0.2,100,6,1.99724e-14,0
dense,80,0.2,100,7,1.44931e-14,1
sparse,80,0.2,100,7,1.44931e-14,1
dense,80,0.2,100,8,1.37925e-14,1
sparse,80,0.2,100,8,1.37925e-14,0
dense,80,0.2,100,9,1.78961e-14,1
sparse,80,0.2,100,9,1.78961e-14,1
dense,160,0.2,100,0,2.15409e-14,4
sparse,160,0.2,100,0,2.15409e-14,1
dense,160,0.2,100,1,2.55353e-14,5
sparse,160,0.2,100,1,2.55353e-14,2
dense,160,0.2,100,2,2.33397e-14,5
sparse,160,0.2,100,2,2.33397e-14,2
dense,160,0.2,100,3,2.25588e-14,4
sparse,160,0.2,100,3,2.25588e-14,2
dense,160,0.2,100,4,2.32738e-14,5
sparse,160,0.2,100,4,2.32738e-14,1
dense,160,0.2,100,5,2.31089e-14,4
sparse,160,0.2,100,5,2.31089e-14,2
dense,160,0.2,100,6,2.16728e-14,3
sparse,160,0.2,100,6,2.16728e-14,1
dense,160,0.2,100,7,2.22569e-14,4
sparse,160,0.2,100,7,2.22569e-14,1
dense,160,0.2,100,8,2.26396e-14,4
sparse,160,0.2,100,8,2.26396e-14,1
dense,160,0.2,100,9,2.60511e-14,4
sparse,160,0.2,100,9,2.60511e-14,1
dense,320,0.2,100,0,3.20813e-14,18
sparse,320,0.2,100,0,3.20813e-14,3
dense,320,0.2,100,1,3.71248e-14,12
sparse,320,0.2,100,1,3.71248e-14,4
dense,320,0.2,100,2,3.668e-14,13
sparse,320,0.2,100,2,3.668e-14,3
dense,320,0.2,100,3,3.27392e-14,24
sparse,320,0.2,100,3,3.27392e-14,4
dense,320,0.2,100,4,2.95187e-14,16
sparse,320,0.2,100,4,2.95187e-14,2
dense,320,0.2,100,5,3.21908e-14,14
sparse,320,0.2,100,5,3.21908e-14,2
dense,320,0.2,100,6,3.15539e-14,32
sparse,320,0.2,100,6,3.15539e-14,3
dense,320,0.2,100,7,3.12089e-14,14
sparse,320,0.2,100,7,3.12089e-14,3
dense,320,0.2,100,8,3.35438e-14,13
sparse,320,0.2,100,8,3.35438e-14,11
dense,320,0.2,100,9,3.11563e-14,14
sparse,320,0.2,100,9,3.11563e-14,3
dense,640,0.2,100,0,4.94923e-14,52
sparse,640,0.2,100,0,4.94923e-14,9
dense,640,0.2,100,1,4.29248e-14,56
sparse,640,0.2,100,1,4.29248e-14,11
dense,640,0.2,100,2,4.71811e-14,56
sparse,640,0.2,100,2,4.71811e-14,9
dense,640,0.2,100,3,4.68724e-14,58
sparse,640,0.2,100,3,4.68724e-14,10
dense,640,0.2,100,4,4.76685e-14,49
sparse,640,0.2,100,4,4.76685e-14,10
dense,640,0.2,100,5,4.43075e-14,51
sparse,640,0.2,100,5,4.43075e-14,10
dense,640,0.2,100,6,4.56469e-14,50
sparse,640,0.2,100,6,4.56469e-14,9
dense,640,0.2,100,7,4.59304e-14,52
sparse,640,0.2,100,7,4.59304e-14,9
dense,640,0.2,100,8,4.6004e-14,50
sparse,640,0.2,100,8,4.6004e-14,9
dense,640,0.2,100,9,4.33332e-14,61
sparse,640,0.2,100,9,4.33332e-14,9
dense,1280,0.2,100,0,6.40193e-14,197
sparse,1280,0.2,100,0,6.40193e-14,48
dense,1280,0.2,100,1,6.70864e-14,225
sparse,1280,0.2,100,1,6.70864e-14,43
dense,1280,0.2,100,2,6.29251e-14,205
sparse,1280,0.2,100,2,6.29251e-14,41
dense,1280,0.2,100,3,6.92618e-14,203
sparse,1280,0.2,100,3,6.92618e-14,41
dense,1280,0.2,100,4,6.3845e-14,212
sparse,1280,0.2,100,4,6.3845e-14,49
dense,1280,0.2,100,5,6.35002e-14,200
sparse,1280,0.2,100,5,6.35002e-14,44
dense,1280,0.2,100,6,6.00206e-14,200
sparse,1280,0.2,100,6,6.00206e-14,46
dense,1280,0.2,100,7,7.30347e-14,205
sparse,1280,0.2,100,7,7.30347e-14,44
dense,1280,0.2,100,8,6.95591e-14,206
sparse,1280,0.2,100,8,6.95591e-14,41
dense,1280,0.2,100,9,6.71425e-14,196
sparse,1280,0.2,100,9,6.71425e-14,41
dense,2560,0.2,100,0,8.54932e-14,823
sparse,2560,0.2,100,0,8.54932e-14,173
dense,2560,0.2,100,1,9.02451e-14,808
sparse,2560,0.2,100,1,9.02451e-14,167
dense,2560,0.2,100,2,8.56306e-14,799
sparse,2560,0.2,100,2,8.56306e-14,173
dense,2560,0.2,100,3,8.99355e-14,795
sparse,2560,0.2,100,3,8.99355e-14,214
dense,2560,0.2,100,4,9.12517e-14,942
sparse,2560,0.2,100,4,9.12517e-14,172
dense,2560,0.2,100,5,8.77565e-14,799
sparse,2560,0.2,100,5,8.77565e-14,191
dense,2560,0.2,100,6,9.78771e-14,810
sparse,2560,0.2,100,6,9.78771e-14,167
dense,2560,0.2,100,7,8.63247e-14,809
sparse,2560,0.2,100,7,8.63247e-14,164
dense,2560,0.2,100,8,8.8518e-14,825
sparse,2560,0.2,100,8,8.8518e-14,163
dense,2560,0.2,100,9,8.68513e-14,787
sparse,2560,0.2,100,9,8.68513e-14,193
dense,5120,0.2,100,0,1.21343e-13,3432
sparse,5120,0.2,100,0,1.21343e-13,675
dense,5120,0.2,100,1,1.24153e-13,3260
sparse,5120,0.2,100,1,1.24153e-13,701
dense,5120,0.2,100,2,1.24458e-13,3381
sparse,5120,0.2,100,2,1.24458e-13,704
dense,5120,0.2,100,3,1.2382e-13,3389
sparse,5120,0.2,100,3,1.2382e-13,714
dense,5120,0.2,100,4,1.29364e-13,3403
sparse,5120,0.2,100,4,1.29364e-13,668
dense,5120,0.2,100,5,1.31766e-13,3197
sparse,5120,0.2,100,5,1.31766e-13,707
dense,5120,0.2,100,6,1.24736e-13,4090
sparse,5120,0.2,100,6,1.24736e-13,886
dense,5120,0.2,100,7,1.22164e-13,4106
sparse,5120,0.2,100,7,1.22164e-13,700
dense,5120,0.2,100,8,1.26906e-13,3434
sparse,5120,0.2,100,8,1.26906e-13,683
dense,5120,0.2,100,9,1.23587e-13,3203
sparse,5120,0.2,100,9,1.23587e-13,687
dense,10,0.3,100,0,9.66712e-15,0
sparse,10,0.3,100,0,9.66712e-15,0
dense,10,0.3,100,1,5.34818e-15,0
sparse,10,0.3,100,1,5.34818e-15,0
dense,10,0.3,100,2,7.79647e-15,0
sparse,10,0.3,100,2,7.79647e-15,1
dense,10,0.3,100,3,8.57068e-15,0
sparse,10,0.3,100,3,8.57068e-15,0
dense,10,0.3,100,4,9.55606e-15,0
sparse,10,0.3,100,4,9.55606e-15,0
dense,10,0.3,100,5,7.10545e-15,0
sparse,10,0.3,100,5,7.10545e-15,0
dense,10,0.3,100,6,4.54382e-15,0
sparse,10,0.3,100,6,4.54382e-15,0
dense,10,0.3,100,7,6.74309e-15,0
sparse,10,0.3,100,7,6.74309e-15,0
dense,10,0.3,100,8,2.92834e-15,0
sparse,10,0.3,100,8,2.92834e-15,0
dense,10,0.3,100,9,3.35933e-15,0
sparse,10,0.3,100,9,3.35933e-15,0
dense,20,0.3,100,0,1.30341e-14,0
sparse,20,0.3,100,0,1.30341e-14,0
dense,20,0.3,100,1,1.41872e-14,0
sparse,20,0.3,100,1,1.41872e-14,0
dense,20,0.3,100,2,1.0538e-14,0
sparse,20,0.3,100,2,1.0538e-14,0
dense,20,0.3,100,3,9.52201e-15,0
sparse,20,0.3,100,3,9.52201e-15,0
dense,20,0.3,100,4,1.13817e-14,0
sparse,20,0.3,100,4,1.13817e-14,0
dense,20,0.3,100,5,2.32632e-14,0
sparse,20,0.3,100,5,2.32632e-14,0
dense,20,0.3,100,6,6.92009e-15,0
sparse,20,0.3,100,6,6.92009e-15,0
dense,20,0.3,100,7,9.48557e-15,0
sparse,20,0.3,100,7,9.48557e-15,0
dense,20,0.3,100,8,8.38153e-15,0
sparse,20,0.3,100,8,8.38153e-15,0
dense,20,0.3,100,9,7.9581e-15,0
sparse,20,0.3,100,9,7.9581e-15,0
dense,40,0.3,100,0,1.60631e-14,0
sparse,40,0.3,100,0,1.60631e-14,0
dense,40,0.3,100,1,1.42776e-14,0
sparse,40,0.3,100,1,1.42776e-14,0
dense,40,0.3,100,2,1.39689e-14,0
sparse,40,0.3,100,2,1.39689e-14,0
dense,40,0.3,100,3,1.07191e-14,0
sparse,40,0.3,100,3,1.07191e-14,0
dense,40,0.3,100,4,1.55003e-14,0
sparse,40,0.3,100,4,1.55003e-14,0
dense,40,0.3,100,5,1.71351e-14,1
sparse,40,0.3,100,5,1.71351e-14,0
dense,40,0.3,100,6,1.40381e-14,0
sparse,40,0.3,100,6,1.40381e-14,0
dense,40,0.3,100,7,9.46256e-15,0
sparse,40,0.3,100,7,9.46256e-15,0
dense,40,0.3,100,8,1.73996e-14,1
sparse,40,0.3,100,8,1.73996e-14,0
dense,40,0.3,100,9,1.50844e-14,1
sparse,40,0.3,100,9,1.50844e-14,0
dense,80,0.3,100,0,1.99323e-14,0
sparse,80,0.3,100,0,1.99323e-14,0
dense,80,0.3,100,1,2.30452e-14,0
sparse,80,0.3,100,1,2.30452e-14,0
dense,80,0.3,100,2,2.36157e-14,0
sparse,80,0.3,100,2,2.36157e-14,0
dense,80,0.3,100,3,1.9422e-14,1
sparse,80,0.3,100,3,1.9422e-14,0
dense,80,0.3,100,4,1.71266e-14,0
sparse,80,0.3,100,4,1.71266e-14,1
dense,80,0.3,100,5,2.5726e-14,0
sparse,80,0.3,100,5,2.5726e-14,0
dense,80,0.3,100,6,2.21428e-14,1
sparse,80,0.3,100,6,2.21428e-14,1
dense,80,0.3,100,7,2.40336e-14,1
sparse,80,0.3,100,7,2.40336e-14,1
dense,80,0.3,100,8,1.96763e-14,1
sparse,80,0.3,100,8,1.96763e-14,1
dense,80,0.3,100,9,2.70214e-14,0
sparse,80,0.3,100,9,2.70214e-14,0
dense,160,0.3,100,0,3.02193e-14,3
sparse,160,0.3,100,0,3.02193e-14,1
dense,160,0.3,100,1,3.06582e-14,3
sparse,160,0.3,100,1,3.06582e-14,2
dense,160,0.3,100,2,3.41788e-14,4
sparse,160,0.3,100,2,3.41788e-14,1
dense,160,0.3,100,3,3.50337e-14,4
sparse,160,0.3,100,3,3.50337e-14,1
dense,160,0.3,100,4,2.76342e-14,4
sparse,160,0.3,100,4,2.76342e-14,1
dense,160,0.3,100,5,3.31133e-14,8
sparse,160,0.3,100,5,3.31133e-14,1
dense,160,0.3,100,6,2.81419e-14,4
sparse,160,0.3,100,6,2.81419e-14,1
dense,160,0.3,100,7,3.19603e-14,3
sparse,160,0.3,100,7,3.19603e-14,1
dense,160,0.3,100,8,2.85248e-14,3
sparse,160,0.3,100,8,2.85248e-14,1
dense,160,0.3,100,9,3.03728e-14,3
sparse,160,0.3,100,9,3.03728e-14,0
dense,320,0.3,100,0,4.64815e-14,11
sparse,320,0.3,100,0,4.64815e-14,3
dense,320,0.3,100,1,4.25764e-14,11
sparse,320,0.3,100,1,4.25764e-14,4
dense,320,0.3,100,2,4.42226e-14,12
sparse,320,0.3,100,2,4.42226e-14,3
dense,320,0.3,100,3,4.10186e-14,12
sparse,320,0.3,100,3,4.10186e-14,3
dense,320,0.3,100,4,3.72108e-14,16
sparse,320,0.3,100,4,3.72108e-14,4
dense,320,0.3,100,5,5.72673e-14,12
sparse,320,0.3,100,5,5.72673e-14,3
dense,320,0.3,100,6,4.71666e-14,11
sparse,320,0.3,100,6,4.71666e-14,4
dense,320,0.3,100,7,4.56035e-14,12
sparse,320,0.3,100,7,4.56035e-14,3
dense,320,0.3,100,8,4.45411e-14,12
sparse,320,0.3,100,8,4.45411e-14,3
dense,320,0.3,100,9,4.35752e-14,14
sparse,320,0.3,100,9,4.35752e-14,4
dense,640,0.3,100,0,6.30259e-14,52
sparse,640,0.3,100,0,6.30259e-14,16
dense,640,0.3,100,1,6.42951e-14,50
sparse,640,0.3,100,1,6.42951e-14,15
dense,640,0.3,100,2,6.03388e-14,50
sparse,640,0.3,100,2,6.03388e-14,15
dense,640,0.3,100,3,6.55518e-14,54
sparse,640,0.3,100,3,6.55518e-14,17
dense,640,0.3,100,4,5.79081e-14,55
sparse,640,0.3,100,4,5.79081e-14,15
dense,640,0.3,100,5,6.0206e-14,55
sparse,640,0.3,100,5,6.0206e-14,15
dense,640,0.3,100,6,6.75511e-14,48
sparse,640,0.3,100,6,6.75511e-14,14
dense,640,0.3,100,7,6.66252e-14,51
sparse,640,0.3,100,7,6.66252e-14,16
dense,640,0.3,100,8,6.33214e-14,48
sparse,640,0.3,100,8,6.33214e-14,15
dense,640,0.3,100,9,6.10303e-14,51
sparse,640,0.3,100,9,6.10303e-14,16
dense,1280,0.3,100,0,9.22643e-14,196
sparse,1280,0.3,100,0,9.22643e-14,61
dense,1280,0.3,100,1,8.98107e-14,207
sparse,1280,0.3,100,1,8.98107e-14,61
dense,1280,0.3,100,2,8.94222e-14,196
sparse,1280,0.3,100,2,8.94222e-14,62
dense,1280,0.3,100,3,8.63528e-14,200
sparse,1280,0.3,100,3,8.63528e-14,61
dense,1280,0.3,100,4,8.43912e-14,208
sparse,1280,0.3,100,4,8.43912e-14,77
dense,1280,0.3,100,5,1.02876e-13,197
sparse,1280,0.3,100,5,1.02876e-13,67
dense,1280,0.3,100,6,8.81146e-14,201
sparse,1280,0.3,100,6,8.81146e-14,62
dense,1280,0.3,100,7,8.72692e-14,220
sparse,1280,0.3,100,7,8.72692e-14,70
dense,1280,0.3,100,8,1.015e-13,195
sparse,1280,0.3,100,8,1.015e-13,61
dense,1280,0.3,100,9,8.97796e-14,200
sparse,1280,0.3,100,9,8.97796e-14,61
dense,2560,0.3,100,0,1.22383e-13,789
sparse,2560,0.3,100,0,1.22383e-13,272
dense,2560,0.3,100,1,1.19863e-13,940
sparse,2560,0.3,100,1,1.19863e-13,244
dense,2560,0.3,100,2,1.22701e-13,801
sparse,2560,0.3,100,2,1.22701e-13,285
dense,2560,0.3,100,3,1.289e-13,796
sparse,2560,0.3,100,3,1.289e-13,256
dense,2560,0.3,100,4,1.29252e-13,803
sparse,2560,0.3,100,4,1.29252e-13,256
dense,2560,0.3,100,5,1.26351e-13,805
sparse,2560,0.3,100,5,1.26351e-13,254
dense,2560,0.3,100,6,1.32287e-13,792
sparse,2560,0.3,100,6,1.32287e-13,266
dense,2560,0.3,100,7,1.29042e-13,816
sparse,2560,0.3,100,7,1.29042e-13,254
dense,2560,0.3,100,8,1.14902e-13,967
sparse,2560,0.3,100,8,1.14902e-13,244
dense,2560,0.3,100,9,1.25521e-13,820
sparse,2560,0.3,100,9,1.25521e-13,272
dense,5120,0.3,100,0,1.79017e-13,3256
sparse,5120,0.3,100,0,1.79017e-13,1041
dense,5120,0.3,100,1,1.76116e-13,3392
sparse,5120,0.3,100,1,1.76116e-13,1043
dense,5120,0.3,100,2,1.81129e-13,3203
sparse,5120,0.3,100,2,1.81129e-13,1031
dense,5120,0.3,100,3,1.97124e-13,3231
sparse,5120,0.3,100,3,1.97124e-13,1064
dense,5120,0.3,100,4,1.7311e-13,3207
